"","id","round","lambda","beta","tau","mu","x1","x2","choices"
"choice",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,41.475266032927,1,7,16
"ind",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,28.9000976326936,0,5,6
"ind.1",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,40.4877495342573,2,7,24
"ind.2",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,14.952380312659,5,3,44
"ind.3",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,43.8566525847439,5,7,48
"ind.4",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,28.7854834606541,3,6,31
"ind.5",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,31.8622580626964,1,6,15
"ind.6",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,46.7437454762796,6,7,56
"ind.7",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,11.5398328104281,0,2,3
"ind.8",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,9.00420439908545,2,4,21
"ind.9",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,38.8358752409502,6,6,55
"ind.10",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,0,2,1,18
"ind.11",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,26.1350203104525,6,1,50
"ind.12",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,35.1433761610797,7,4,61
"ind.13",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,31.665768028299,6,5,54
"ind.14",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,33.9584153841897,7,2,59
"ind.15",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,33.8759169553168,7,3,60
"ind.16",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,4.35367818233757,0,0,1
"ind.17",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,41.7551271007688,4,7,40
"ind.18",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,40.6068669734564,3,7,32
"ind.19",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,34.1158475207224,5,6,47
"ind.20",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,11.7155688449172,4,0,33
"ind.21",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,50,7,7,64
"ind.22",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,43.8248832843955,7,6,63
"ind.23",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,1.02477287597525,3,2,27
"ind.24",1,1,0.528503044672503,2.04688041588151,0.0262119865151663,22.094012152452,0,4,5
"choice1",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,0.451487209295101,0,4,5
"ind1",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,12.9340590470788,4,7,40
"ind.110",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,19.9379428604089,5,6,47
"ind.25",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,32.3312341326894,4,2,35
"ind.31",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,43.4932194186371,7,4,61
"ind.41",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,33.7790005458959,4,1,34
"ind.51",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,24.873090074426,2,1,18
"ind.61",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,14.6888749152046,3,6,31
"ind.71",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,37.7690961065579,5,2,43
"ind.81",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,9.19636889520784,0,0,1
"ind.91",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,36.6124127545717,5,3,44
"ind.101",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,31.0271294061939,6,5,54
"ind.111",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,13.6550780531905,6,7,56
"ind.121",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,45.3753586329204,7,1,58
"ind.131",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,50,7,2,59
"ind.141",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,43.9378711256364,6,2,51
"ind.151",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,40.4892091873587,6,1,50
"ind.161",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,9.10891719715377,0,6,7
"ind.171",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,49.6050726604285,7,3,60
"ind.181",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,12.5383986281827,2,6,23
"ind.191",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,16.7151464871119,2,3,20
"ind.201",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,34.7783363483024,4,0,33
"ind.211",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,35.3252708910228,6,0,49
"ind.221",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,43.5238453297915,6,3,52
"ind.231",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,27.0660178657376,3,2,27
"ind.241",1,2,0.528503044672503,2.04688041588151,0.0262119865151663,7.96346927925629,1,5,14
"choice2",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,0,7,0,57
"ind2",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,30.783611137389,1,1,10
"ind.112",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,35.2291151774103,2,3,20
"ind.26",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,39.6779936681513,2,4,21
"ind.32",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,43.374025547732,2,6,23
"ind.42",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,30.2290438885969,0,7,8
"ind.52",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,14.1843446680805,4,0,33
"ind.62",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,37.8240388916681,5,4,45
"ind.72",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,45.226153863092,6,7,56
"ind.82",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,37.4877478469213,0,5,6
"ind.92",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,42.6587924257617,2,5,22
"ind.102",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,37.7949934760737,7,7,64
"ind.113",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,39.7637679183441,0,4,5
"ind.122",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,37.5927816726139,1,3,12
"ind.132",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,48.8032628995543,5,7,48
"ind.142",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,48.7889122688151,4,7,40
"ind.152",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,39.8832548799063,1,5,14
"ind.162",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,49.8554230705057,5,6,47
"ind.172",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,30.3713516800784,2,2,19
"ind.182",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,12.1207179139675,5,1,42
"ind.192",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,50,4,6,39
"ind.202",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,38.6313619464177,1,6,15
"ind.212",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,22.3977721790467,2,0,17
"ind.222",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,27.9718746684478,5,3,44
"ind.232",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,46.1140550905263,3,7,32
"ind.242",1,3,0.528503044672503,2.04688041588151,0.0262119865151663,41.5349756203448,2,7,24
"choice3",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,31.2729844484728,2,2,19
"ind3",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,29.7799782729217,5,0,41
"ind.114",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,36.5983312316213,0,4,5
"ind.27",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,28.7460706393499,6,7,56
"ind.33",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,6.92726984713671,1,6,15
"ind.43",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,25.9660408427018,3,2,27
"ind.53",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,34.3062711148304,6,1,50
"ind.63",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,38.2846238428289,7,1,58
"ind.73",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,9.75863172475395,4,7,40
"ind.83",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,28.2347753615313,4,1,34
"ind.93",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,16.2148247138773,5,5,46
"ind.103",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,34.4583744308346,7,7,64
"ind.115",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,2.12777424157809,3,6,31
"ind.123",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,29.639631797997,6,3,52
"ind.133",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,36.4774890427454,7,0,57
"ind.143",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,45.5111073249203,0,3,4
"ind.153",1,4,0.528503044672503,2.04688041588151,0.0262119865151663,33.0652085113896,6,0,49
