"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon","age_years","experiment","age_months","condition","agegroup"
1,726.906514158964,"BMT","UCB",0.126079647360816,4.35324311605143,NA,0.0767486893272142,0.047545450586807,NA,11,"Adolescent",132,"Smooth","[11,14)"
2,819.87140321685,"BMT","UCB",0.0143129936769785,3.32421140272148,NA,0.203571682273253,0.067377644504291,NA,10,"Adolescent",120,"Smooth","[9,11)"
3,676.53546968304,"BMT","UCB",0.186638027418993,4.90542808209255,NA,0.300266274130348,0.0111345821679216,NA,12,"Adolescent",144,"Smooth","[11,14)"
4,758.830248115096,"BMT","UCB",0.0876994701398406,8.29927863899571,NA,0.306698266036274,0.00674789376546059,NA,10,"Adolescent",120,"Smooth","[9,11)"
5,796.431286445038,"BMT","UCB",0.0424937771974386,4.6560236851848,NA,5.81465892888436,1.88654348078452,NA,12,"Adolescent",144,"Smooth","[11,14)"
6,745.297676444335,"BMT","UCB",0.103968948506409,0.825074395518856,NA,0.146224974514167,0.0668030890104088,NA,12,"Adolescent",144,"Smooth","[11,14)"
7,830.21703122117,"BMT","UCB",0.00187500516305017,0.0067381918939971,NA,0.30320245648053,0.244027717914163,NA,12,"Adolescent",144,"Smooth","[11,14)"
8,794.212208411226,"BMT","UCB",0.0451616545930439,1.51202736721452,NA,0.352312241494838,0.0168220320620769,NA,11,"Adolescent",132,"Smooth","[11,14)"
9,443.88219968529,"BMT","UCB",0.466344459812623,0.248478741824499,NA,0.117919296457838,0.0391972715969481,NA,11,"Adolescent",132,"Smooth","[11,14)"
10,811.420923024047,"BMT","UCB",0.0244725485663854,0.170029925267395,NA,0.81612034088929,0.615426318899294,NA,10,"Adolescent",120,"Smooth","[9,11)"
11,824.442520455156,"BMT","UCB",0.00881738686779054,0.00673817973333315,NA,21.937871818311,49.2106142987268,NA,10,"Adolescent",120,"Smooth","[9,11)"
12,817.203653038524,"BMT","UCB",0.017520285304147,18.1124828841386,NA,4.14757078064873,0.0597027947189419,NA,11,"Adolescent",132,"Smooth","[11,14)"
13,604.379995847245,"BMT","UCB",0.273386647648906,8.77119051594007,NA,0.276775413657328,0.00674162155098277,NA,11,"Adolescent",132,"Smooth","[11,14)"
14,665.531589793395,"BMT","UCB",0.199867396541768,6.77860431379815,NA,0.304382304685476,0.00673825591253666,NA,12,"Adolescent",144,"Smooth","[11,14)"
15,648.175743041035,"BMT","UCB",0.22073339157515,8.38372582397222,NA,0.293092901051276,0.00674171792780183,NA,12,"Adolescent",144,"Smooth","[11,14)"
16,784.356772764956,"BMT","UCB",0.0570103113702715,2.57687680726966,NA,0.167289167964344,0.0615913860098446,NA,12,"Adolescent",144,"Smooth","[11,14)"
17,748.123946494555,"BMT","UCB",0.100571077018354,6.22911615185843,NA,0.284482726138422,0.0124355135997467,NA,12,"Adolescent",144,"Smooth","[11,14)"
18,293.201550191723,"BMT","UCB",0.647499647964538,1.77877996458101,NA,0.00673801413521813,0.0183192330127702,NA,11,"Adolescent",132,"Smooth","[11,14)"
19,591.676184797052,"BMT","UCB",0.288659751984326,4.44319145465434,NA,0.0128460013751306,0.0365551725289437,NA,11,"Adolescent",132,"Smooth","[11,14)"
20,433.984213774519,"BMT","UCB",0.478244272469504,2.74625116804352,NA,0.150274629520887,0.0224387699074045,NA,10,"Adolescent",120,"Smooth","[9,11)"
21,833.413194320847,"BMT","UCB",-0.00196756871509662,15.0544784307716,NA,4.95777785141135,4.01889949964779,NA,11,"Adolescent",132,"Smooth","[11,14)"
22,447.280329005417,"BMT","UCB",0.462259072880584,0.760562723125943,NA,0.00893469877840386,0.0545723071982294,NA,11,"Adolescent",132,"Smooth","[11,14)"
23,829.008641570703,"BMT","UCB",0.00332778662654176,0.00808111435781537,NA,6.68237383726599,1.73268034647204,NA,11,"Adolescent",132,"Smooth","[11,14)"
24,351.892324134046,"BMT","UCB",0.576938907537434,6.90686770463396,NA,0.252648731941557,0.00673819793955519,NA,11,"Adolescent",132,"Smooth","[11,14)"
25,815.804757493804,"BMT","UCB",0.0192021016917209,17.3364269721099,NA,22.3837739424211,1.66789263624311,NA,11,"Adolescent",132,"Smooth","[11,14)"
26,490.105719021352,"BMT","UCB",0.410772424713813,5.71900259532136,NA,0.145595578855482,0.0177071775154158,NA,11,"Adolescent",132,"Smooth","[11,14)"
27,808.083645605355,"BMT","UCB",0.0284847765514001,0.0835220607931683,NA,22.403302682797,22.4410639453901,NA,11,"Adolescent",132,"Smooth","[11,14)"
28,826.226442658216,"BMT","UCB",0.00667267377138514,11.9129707721449,NA,0.0100615182223032,0.0337520876817415,NA,11,"Adolescent",132,"Smooth","[11,14)"
29,835.153648302695,"BMT","UCB",-0.00406002232218627,6.03053073890963,NA,0.314463926298963,0.0618884802605829,NA,11,"Adolescent",132,"Smooth","[11,14)"
30,811.339787450095,"BMT","UCB",0.024570093474869,4.31722206978901,NA,0.0765753477116849,0.0545554439178422,NA,12,"Adolescent",144,"Smooth","[11,14)"
31,814.167436434653,"BMT","UCB",0.0211705641687047,9.05142748126138,NA,28.2495625572599,1.61745048013367,NA,10,"Adolescent",120,"Smooth","[9,11)"
32,593.669984418916,"BMT","UCB",0.286262714628502,6.05192888336435,NA,0.246446382857122,0.0123715669220858,NA,11,"Adolescent",132,"Smooth","[11,14)"
33,755.861469042873,"BMT","UCB",0.0912686725106671,3.30519837058487,NA,0.0231982302877092,0.097973340314257,NA,11,"Adolescent",132,"Smooth","[11,14)"
34,728.884172073075,"BMT","UCB",0.123702016306431,6.9640833034597,NA,0.325009257139166,0.00673881592990289,NA,11,"Adolescent",132,"Smooth","[11,14)"
36,646.010917824765,"BMT","UCB",0.22333604374507,12.1378460666289,NA,0.0416827503294473,0.00673797473941966,NA,10,"Adolescent",120,"Smooth","[9,11)"
37,830.392129119065,"BMT","UCB",0.00166449443891437,9.47103700085323,NA,0.196659770695878,0.0297160485990429,NA,11,"Adolescent",132,"Smooth","[11,14)"
38,541.157051429174,"BMT","UCB",0.349396171300864,7.39513201992828,NA,0.223088037661786,0.0130184283293476,NA,10,"Adolescent",120,"Smooth","[9,11)"
39,628.58538690405,"BMT","UCB",0.24428581628188,0.0427391728979888,NA,0.130397130170602,0.0502590435051343,NA,10,"Adolescent",120,"Smooth","[9,11)"
40,806.22329344718,"BMT","UCB",0.0307213772454886,8.67670207070301,NA,16.7229951824862,1.99241975708984,NA,12,"Adolescent",144,"Smooth","[11,14)"
41,741.611727307552,"BMT","UCB",0.108400365623581,9.05208989992498,NA,0.281698847344452,0.00673821901312229,NA,11,"Adolescent",132,"Smooth","[11,14)"
42,451.438525989287,"BMT","UCB",0.457259897740861,6.64949411419618,NA,0.298796211833727,0.00679367386409207,NA,10,"Adolescent",120,"Smooth","[9,11)"
43,453.293237973661,"BMT","UCB",0.455030077922415,12.1770051639163,NA,0.0378866947790236,0.00673799318665765,NA,10,"Adolescent",120,"Smooth","[9,11)"
44,335.388841707086,"BMT","UCB",0.596780151083078,2.18867133593248,NA,0.0198308949878909,0.0492961927380633,NA,10,"Adolescent",120,"Smooth","[9,11)"
45,353.453826618805,"BMT","UCB",0.575061597628186,5.76781281966127,NA,0.221487212962525,0.00888191778105971,NA,10,"Adolescent",120,"Smooth","[9,11)"
46,620.745631242493,"BMT","UCB",0.253711130127471,6.1205754884481,NA,0.319069199767472,0.00700532939346865,NA,10,"Adolescent",120,"Smooth","[9,11)"
47,475.347936005567,"BMT","UCB",0.428514908356637,4.59627279752224,NA,0.14874439224265,0.0218805877889313,NA,12,"Adolescent",144,"Smooth","[11,14)"
48,371.419233694545,"BMT","UCB",0.553462761215084,3.37155320777656,NA,0.0759907054503887,0.0240752603866612,NA,10,"Adolescent",120,"Smooth","[9,11)"
