"participant","X","environment","ageGroup","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","roundnLL","age_years","age_months","id"
3,1641,"Smooth","Younger",2,400.783185307239,0.0363201434759399,"RBF","UCB",NA,0.482350641551035,0.588457674706904,0.0856901179090027,98.7708851272203,6,80,314
3,1642,"Smooth","Younger",3,400.783185307239,0.0363201434759399,"RBF","UCB",NA,0.334202207198569,0.571810446044072,0.00673795431631102,106.787608357468,6,80,314
3,1643,"Smooth","Younger",4,400.783185307239,0.0363201434759399,"RBF","UCB",NA,0.486497465067687,0.566510792257545,0.0793859016623688,99.456917997525,6,80,314
3,1644,"Smooth","Younger",5,400.783185307239,0.0363201434759399,"RBF","UCB",NA,0.441785977609013,0.831023365786292,0.170582169289793,95.7677738250256,6,80,314
7,1654,"Smooth","Younger",3,495.726278231197,-0.191969738737485,"RBF","UCB",NA,0.166591139897556,54.4067278837496,21.6633075748146,98.7617429894534,6,79,317
7,1653,"Smooth","Younger",2,495.726278231197,-0.191969738737485,"RBF","UCB",NA,0.363638559478012,0.449723866838125,0.00673799823655092,145.850274024,6,79,317
7,1655,"Smooth","Younger",4,495.726278231197,-0.191969738737485,"RBF","UCB",NA,0.396171409208912,0.509608313622466,0.00673810301605878,137.573801995929,6,79,317
7,1656,"Smooth","Younger",5,495.726278231197,-0.191969738737485,"RBF","UCB",NA,0.388276392897452,0.51350519467593,0.00673813953663593,113.540459221815,6,79,317
9,1661,"Smooth","Younger",2,357.26784638275,0.140952416257545,"RBF","UCB",NA,0.398559164382503,0.540260496788458,0.00673795275262147,89.8985589877322,6,74,319
9,1663,"Smooth","Younger",4,357.26784638275,0.140952416257545,"RBF","UCB",NA,0.407880993560319,0.529246783779252,0.00673794750454619,118.419647292857,6,74,319
9,1662,"Smooth","Younger",3,357.26784638275,0.140952416257545,"RBF","UCB",NA,0.375485278272642,0.54279299901795,0.00673794848044066,63.5630672961573,6,74,319
9,1664,"Smooth","Younger",5,357.26784638275,0.140952416257545,"RBF","UCB",NA,0.388685343459201,0.542673495447749,0.00673795065441698,85.3865728060031,6,74,319
11,1669,"Smooth","Younger",2,436.691879082209,-0.0500220139139751,"RBF","UCB",NA,1.61600851275878,0.0067379474370325,0.11071813219821,95.2304704410468,5,68,321
11,1670,"Smooth","Younger",3,436.691879082209,-0.0500220139139751,"RBF","UCB",NA,0.389098242695437,0.543646286548234,0.00681168288657751,131.395890608261,5,68,321
11,1671,"Smooth","Younger",4,436.691879082209,-0.0500220139139751,"RBF","UCB",NA,1.75563191950959,0.00673794699981552,0.113275222510669,88.0984435976757,5,68,321
11,1672,"Smooth","Younger",5,436.691879082209,-0.0500220139139751,"RBF","UCB",NA,0.458573746282062,0.461352694338003,0.0184266597527492,121.967074435225,5,68,321
13,1673,"Smooth","Younger",2,396.46790549955,0.0466961981069417,"RBF","UCB",NA,0.355124055996188,0.544812262943899,0.00673795303919254,101.333833977826,5,66,322
13,1674,"Smooth","Younger",3,396.46790549955,0.0466961981069417,"RBF","UCB",NA,0.290609651371827,0.554088684691571,0.00673794793675811,93.8362775847114,5,66,322
13,1675,"Smooth","Younger",4,396.46790549955,0.0466961981069417,"RBF","UCB",NA,0.349695485471814,0.552134048925971,0.0067379479797698,102.834376314113,5,66,322
13,1676,"Smooth","Younger",5,396.46790549955,0.0466961981069417,"RBF","UCB",NA,0.344527378327552,0.554073447847241,0.00673794733604993,98.4634176228996,5,66,322
